Seq,Name,Site,EntryPage,Type
0,The Indian Express,indianexpress.com,http://indianexpress.com/,综合新闻
1,The New Indian Express,newindianexpress.com,http://www.newindianexpress.com/,综合新闻
2,India Today,indiatoday.intoday.in,http://indiatoday.intoday.in/,综合新闻
3,IANS Live,ianslive.in,http://ianslive.in/,综合新闻
4,Deccan Herald,deccanherald.com,http://www.deccanherald.com/,综合新闻
5,OneIndia,oneindia.com,http://www.oneindia.com/,综合新闻
6,News24Online,news24online.com,http://news24online.com/,综合新闻
7,The Statesman,thestatesman.com,http://www.thestatesman.com/,综合新闻
8,Catch News,catchnews.com,http://www.catchnews.com/,综合新闻
9,Hindustan Times,hindustantimes.com,http://www.hindustantimes.com/,综合新闻
10,Santabanta,santabanta.com,http://www.santabanta.com/bollywood/,娱乐
11,Koimoi,koimoi.com,http://www.koimoi.com/,娱乐
12,Filmibeat,filmibeat.com,http://www.filmibeat.com/,娱乐
13,Glamsham,glamsham.com,http://www.glamsham.com/,娱乐
14,Desimartini,desimartini.com,http://www.desimartini.com/,娱乐
15,Pinkvilla,pinkvilla.com,http://www.pinkvilla.com/,娱乐
16,Galatta,galatta.com,http://www.galatta.com/,娱乐
17,Indipepper,indipepper.com,http://www.indipepper.com/,娱乐
18,Bollywood Country,bollywoodcountry.com,http://www.bollywoodcountry.com/,娱乐
19,Bollywood Dhamaka,bollywooddhamaka.in,http://www.bollywooddhamaka.in/,娱乐
20,The Indian Express,indianexpress.com,http://indianexpress.com/world/,全球
21,The New Indian Express,newindianexpress.com,http://www.newindianexpress.com/world/,全球
22,India Today,indiatoday.intoday.in,http://indiatoday.intoday.in/section/113/1/world.html,全球
23,IANS Live,ianslive.in,http://ianslive.in/index.php?param=category/INTERNATIONAL/13,全球
24,Deccan Herald,deccanherald.com,http://www.deccanherald.com/contents/158/international.html,全球
25,OneIndia,oneindia.com,http://www.oneindia.com/international/,全球
26,The Statesman,thestatesman.com,http://www.thestatesman.com/news/world/,全球
27,Catch News,catchnews.com,http://www.catchnews.com/international-news/,全球
28,Kashmir Times,kashmirtimes.com,http://www.kashmirtimes.com/news.aspx?q=World,全球
29,Greater Kashmir,greaterkashmir.com,http://www.greaterkashmir.com/news/world/,全球
30,Livemint,livemint.com,http://www.livemint.com/,商业&财经
31,Business Standard,business-standard.com,http://www.business-standard.com/,商业&财经
32,Business Today,businesstoday.in,http://www.businesstoday.in/,商业&财经
33,Outlook Business,outlookbusiness.com,http://www.outlookbusiness.com/,商业&财经
34,The Financial Express,financialexpress.com,http://www.financialexpress.com/,商业&财经
35,Catch News,catchnews.com,http://www.catchnews.com/business-economy-news/,商业&财经
36,Business Wire India,businesswireindia.com,http://www.businesswireindia.com/,商业&财经
37,The Hans India,thehansindia.com,http://www.thehansindia.com/posts/getCategoryArticles/Business-2,商业&财经
38,Commodity Online,commodityonline.com,http://www.commodityonline.com/,商业&财经
39,91mobiles,91mobiles.com,http://www.91mobiles.com/,科技
40,All Tech Buzz,alltechbuzz.net,http://www.alltechbuzz.net/,科技
41,Androcid,androcid.com,http://www.androcid.com/,科技
42,Android Advices,androidadvices.com,http://androidadvices.com/,科技
43,BetaNews,betanews.com,http://betanews.com/,科技
44,CIOL,ciol.com,http://www.ciol.com/,科技
45,DATAQuest,dqindia.com,http://www.dqindia.com/,科技
46,Gizbot,gizbot.com,http://www.gizbot.com/,科技
47,Inc42,inc42.com,http://inc42.com/,科技
48,Lifehacker,lifehacker.com,http://lifehacker.com/,科技
49,The Indian Express,indianexpress.com,http://indianexpress.com/technology/,科技
50,Phone Radar,phoneradar.com,http://phoneradar.com/category/news/,科技
51,telecomtalk,telecomtalk.info,http://telecomtalk.info/,科技
52,thinkdigit,digit.in,http://www.digit.in/technology-news/,科技
53,trak.in,trak.in,http://trak.in/Tags/Business/category/telecom/mobile/,科技
54,missmalini,missmalini.com,http://www.missmalini.com/category/fashion/,生活
55,boldsky,boldsky.com,http://www.boldsky.com/,生活
56,wonder woman,onderwoman.intoday.in,http://wonderwoman.intoday.in/,生活
57,curejoy,curejoy.com,http://www.curejoy.com/content/,生活
58,ifairer,ifairer.com,http://www.ifairer.com/,生活
59,popxo,popxo.com,http://www.popxo.com/,生活
60,inonit,inonit.in,http://www.inonit.in/,生活
61,news24online,news24online.com,http://news24online.com/category/lifestyle/,生活
62,india today,indiatoday.intoday.in,http://indiatoday.intoday.in/section/103/1/lifestyle.html,生活
63,boldsky,boldsky.com,http://www.boldsky.com/beauty/,健康&美容
64,The Indian Express,indianexpress.com,http://indianexpress.com/section/lifestyle/fashion/,健康&美容
65,catch news,catchnews.com,http://www.catchnews.com/health-news/,健康&美容
66,missmalini,missmalini.com,http://www.missmalini.com/category/fashion/,健康&美容
67,ifairer,ifairer.com,http://www.ifairer.com/category/fashion/,健康&美容
68,curejoy,curejoy.com,http://www.curejoy.com/content/,健康&美容
69,free press jounal,freepressjournal.in,http://www.freepressjournal.in/category/health/,健康&美容
70,squawka,squawka.com,http://www.squawka.com/,体育
71,sportskeeda,sportskeeda.com,http://www.sportskeeda.com/,体育
72,wisden cricket,isdenindia.com,http://www.wisdenindia.com/,体育
73,the new indian express,newindianexpress.com,http://www.newindianexpress.com/sport/,体育
74,indian express,indianexpress.com,http://indianexpress.com/sports/,体育
75,the statesman,thestatesman.com,http://www.thestatesman.com/news/sports/,体育
76,deccan chronicle,deccanchronicle.com,http://www.deccanchronicle.com/sports,体育
77,daily mirror,mirror.co.uk,http://www.mirror.co.uk/sport/,体育
78,ians live,ianslive.in,http://www.ianslive.in/index.php?param=category/sports/9,体育
79,deccan herald,deccanherald.com,http://www.deccanherald.com/contents/76/sports.html,体育
80,santabanta,santabanta.com,http://www.santabanta.com/jokes/,搞笑
81,teekhimirchi,teekhimirchi.in,http://teekhimirchi.in/,搞笑
82,awesomecuisine english,awesomecuisine.com,http://www.awesomecuisine.com/foodguide,食物
83,kitchen platter,kitchenplatter.com,http://kitchenplatter.com/,食物
84,boldsky,boldsky.com,http://www.boldsky.com/,食物
85,The Indian Express,indianexpress.com,http://indianexpress.com/section/lifestyle/food-wine/,食物
86,oneindia,boldsky.com,http://www.boldsky.com/cookery/,食物
87,ifairer,ifairer.com,http://www.ifairer.com/category/recipes/,食物
88,free press journal,freepressjournal.in,http://www.freepressjournal.in/category/food/,食物
89,oneindia,oneindia.com,http://www.oneindia.com/topic/automobile,汽车
90,the new indian express,newindianexpress.com,http://www.newindianexpress.com/auto/,汽车
91,deccan herald,deccanherald.com,http://www.deccanherald.com/contents/261/dh-wheels.html,汽车
92,carsizzler,carsizzler.com,http://carsizzler.com/news,汽车
93,holidayIQ,holidayiq.com,http://www.holidayiq.com/blog/,旅行
94,Outlook Traveller,outlooktraveller.com,http://www.outlooktraveller.com/,旅行
95,tarungoel,tarungoel.in,http://www.tarungoel.in/,旅行
96,deccan herald,deccanherald.com,http://www.deccanherald.com/contents/261/dh-wheels.html,旅行
97,india today,indiatoday.intoday.in,http://indiatoday.intoday.in/section/103/1/lifestyle.html,旅行
98,ifairer,ifairer.com,http://www.ifairer.com/category/travel-guide/,旅行
99,The Indian Express,indianexpress.com,http://indianexpress.com/section/lifestyle/destination-of-the-week/,旅行
100,lonely planet,lonelyplanet.com,http://www.lonelyplanet.com/blog/,旅行
101,the new indian express,newindianexpress.com,http://www.newindianexpress.com/lifestyle/travel/,旅行
102,free press journal,freepressjournal.in,http://www.freepressjournal.in/category/travel/,旅行
103,desh gujarat,deshgujarat.com,http://deshgujarat.com/category/travel/,旅行
104,deccan herald,deccanherald.com,http://www.deccanherald.com/contents/139/dh-education.html,教育
105,education insider,educationinsider.net,http://www.educationinsider.net/,教育
106,The Indian Express,indianexpress.com,http://indianexpress.com/section/india/education/,教育
107,the new indian express,newindianexpress.com,http://www.newindianexpress.com/education/,教育
108,free press journal,freepressjournal.in,http://www.freepressjournal.in/category/education/,教育
